cv_rank,mean_cv_roc_auc,std_cv_roc_auc,mean_fit_time,mean_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,best_model_run_id,best_test_roc_auc,best_test_f1_score
1,0.8475547135761103,0.013850968291330961,0.7297903696695963,0.07779836654663086,200,2,2,sqrt,8,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
2,0.8470438343163096,0.013241581430611007,1.9726564089457195,0.16059064865112305,500,10,2,log2,10,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
3,0.8470035972021671,0.01254922697943234,1.4445846875508626,0.13260221481323242,300,2,4,log2,,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
4,0.846808648484204,0.013147659852350547,3.6217126846313477,0.14350461959838867,500,2,2,,6,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
5,0.8463431693027158,0.014339408883260853,0.7214140892028809,0.07239222526550293,200,10,1,sqrt,6,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
6,0.8461560747017233,0.012360671921601897,1.296025037765503,0.09691103299458821,300,5,2,sqrt,10,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
7,0.8459737349505966,0.01307919788462961,0.46106823285420734,0.14087597529093424,100,10,2,log2,8,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
8,0.8444103669834941,0.015387898750481032,1.3437990347544353,0.08821678161621094,200,5,4,,4,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
9,0.8444048294805236,0.015453360598339216,1.3478856086730957,0.10087108612060547,200,5,1,,4,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
9,0.8444048294805236,0.015453360598339216,0.9208931922912598,0.09610637029012044,200,2,1,,4,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
11,0.8442458119781593,0.01545831973066413,2.1674575805664062,0.10194873809814453,300,2,2,,4,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
12,0.8439664457042776,0.015279668238024203,3.0756038824717202,0.1165463129679362,500,2,1,,4,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
13,0.8438763789314484,0.013071348410578224,1.5269001324971516,0.0755925973256429,200,10,1,,8,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
14,0.8424123999905851,0.015176354073875993,0.9618842601776123,0.08518592516581218,300,5,1,sqrt,4,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
15,0.8416012726030048,0.014911251335510555,1.7315250237782795,0.13459142049153647,500,5,2,log2,4,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
16,0.8401357043345095,0.012272912423936638,2.3436187903086343,0.07865230242411296,300,10,2,,10,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
17,0.8391471539815402,0.012311147129384898,2.9433956940968833,0.08794299761454265,300,2,2,,10,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
18,0.8359574943331555,0.01068917956501576,2.1901723543802896,0.07001797358194987,300,10,2,,,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
19,0.8312911120443784,0.010356788886118271,2.288834889729818,0.13550631205240884,200,5,2,,,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
20,0.8245331406301036,0.01156821481860813,1.3947856426239014,0.07363382975260417,200,2,1,log2,,57ee3efce2c74cc393f7e1e370e615bb,0.8410860523392493,0.6222707423580786
